Departamento;Capital;Superficie (km²);Municipios
Amazonas;Leticia;109 665;2
Antioquia;Medellín;63 612;125
Arauca;Arauca;23 818;7
Atlántico;Barranquilla;3 019;23
Bogotá;Bogotá;1 775;- (distrito capital)
Bolívar;Cartagena de Indias;25 978;45
Boyacá;Tunja;23 012;123
Caldas;Manizales;7 888;27
Caquetá;Florencia;88 965;16
Casanare;Yopal;44 490;19
Cauca;Popayán;29 308;41
Cesar;Valledupar;22 905;25
Chocó;Quibdó;46 530;31
Córdoba;Montería;25 020;30
Cundinamarca;Bogotá;24 210;116
Guainía;Inírida;72 238;1
Guaviare;San José del Guaviare;52 957;4
Huila;Neiva;19 890;37
La Guajira;Riohacha;20 848;15
Magdalena;Santa Marta;23 188;30
Meta;Villavicencio;85 635;29
Nariño;Pasto;32 820;64
Norte de Santander;San José de Cúcuta;21 648;40
Putumayo;Mocoa;24 885;13
Quindío;Armenia;1 845;12
Risaralda;Pereira;4 140;14
San Andrés y Providencia;San Andrés;52;2
Santander;Bucaramanga;30 537;87
Sucre;Sincelejo;10 670;26
Tolima;Ibagué;23 562;47
Valle del Cauca;Cali;22 195;42
Vaupés;Mitú;54 135;3
Vichada;Puerto Carreño;100 947;4
